2015-11-19 17:06:20	INFO	started log
2015-11-19 17:06:21	CSV-EOFERROR	could not insert data for assessment_text_exact_match_questions into federalism_ondemand. This is most likely due to 'extra data after last expected column' error.
2015-11-19 17:06:21	SUCCESS	Successfully inserted data from dataset peer_review_part_choices into federalism_ondemand.
2015-11-19 17:06:21	CSV-EOFERROR	could not insert data for course_item_types into federalism_ondemand. This is most likely due to 'extra data after last expected column' error.
2015-11-19 17:06:21	SUCCESS	Successfully inserted data from dataset assessment_actions into federalism_ondemand.
2015-11-19 17:06:21	SUCCESS	Successfully inserted data from dataset course_memberships into federalism_ondemand.
2015-11-19 17:06:21	SUCCESS	Successfully inserted data from dataset assessment_question_types into federalism_ondemand.
2015-11-19 17:06:21	CSV-EOFERROR	could not insert data for assessment_regex_patterns into federalism_ondemand. This is most likely due to 'extra data after last expected column' error.
2015-11-19 17:06:21	SUCCESS	Successfully inserted data from dataset peer_assignment_review_schema_part_options into federalism_ondemand.
2015-11-19 17:06:21	CSV-EOFERROR	could not insert data for assessment_single_numeric_patterns into federalism_ondemand. This is most likely due to 'extra data after last expected column' error.
2015-11-19 17:06:21	SUCCESS	Successfully inserted data from dataset course_modules into federalism_ondemand.
2015-11-19 17:06:21	SUCCESS	Successfully inserted data from dataset demographics_questions into federalism_ondemand.
2015-11-19 17:06:21	SUCCESS	Successfully inserted data from dataset assessment_response_options into federalism_ondemand.
2015-11-19 17:06:21	CSV-EOFERROR	could not insert data for assessment_math_expression_patterns into federalism_ondemand. This is most likely due to 'extra data after last expected column' error.
2015-11-19 17:06:21	SUCCESS	Successfully inserted data from dataset assessment_response_patterns into federalism_ondemand.
2015-11-19 17:06:21	SUCCESS	Successfully inserted data from dataset course_item_peer_assignments into federalism_ondemand.
2015-11-19 17:06:21	SUCCESS	Successfully inserted data from dataset course_grades into federalism_ondemand.
2015-11-19 17:06:21	CSV-EOFERROR	could not insert data for peer_reviews into federalism_ondemand. This is most likely due to 'extra data after last expected column' error.
2015-11-19 17:06:21	CSV-EOFERROR	could not insert data for assessment_math_expression_questions into federalism_ondemand. This is most likely due to 'extra data after last expected column' error.
